userid,serviceid,lam1000,lam3000,lam5000,effencicy
640,640-2,0.41,1.05,1.57,1.63
640,640-1,0.29,1.0,1.51,1.84
641,641-2,0.35,0.69,1.71,1.78
641,641-1,0.45,1.11,1.85,1.95
642,642-4,0.3,0.92,1.43,1.48
642,642-3,0.29,1.07,1.66,1.78
642,642-2,0.28,1.02,1.42,1.58
642,642-1,0.31,0.9,1.51,1.63
643,643-3,0.24,0.98,1.85,1.89
643,643-2,0.29,1.11,1.9,2.0
643,643-1,0.46,1.09,1.6,1.65
644,644-4,0.36,1.0,1.69,1.95
644,644-3,0.27,1.06,1.77,1.84
644,644-2,0.25,1.11,1.54,1.65
644,644-1,0.27,1.12,1.52,1.96
645,645-4,0.36,1.08,1.66,1.74
645,645-3,0.45,1.03,1.47,1.75
645,645-2,0.38,0.88,1.69,1.72
645,645-1,0.38,1.09,1.64,1.69
646,646-5,0.36,1.0,1.69,1.72
646,646-4,0.28,0.88,1.57,1.65
646,646-3,0.33,1.07,1.69,1.7
646,646-2,0.37,1.17,1.76,1.79
646,646-1,0.24,0.94,1.58,1.66
647,647-5,0.39,1.06,1.67,1.81
647,647-4,0.42,0.9,1.69,1.78
647,647-3,0.39,0.94,1.69,1.74
647,647-2,0.35,0.97,1.7,1.72
647,647-1,0.19,1.07,1.63,1.77
648,648-5,0.25,1.09,1.65,1.92
648,648-4,0.43,1.03,1.67,1.69
648,648-3,0.32,0.96,1.45,1.67
648,648-2,0.38,1.14,1.47,1.62
648,648-1,0.31,0.74,1.7,1.8
649,649-3,0.39,0.93,1.67,1.91
649,649-2,0.29,0.96,1.61,1.63
649,649-1,0.36,0.97,1.68,1.73
650,650-5,0.43,0.81,1.76,1.84
650,650-4,0.36,1.06,1.57,1.71
650,650-3,0.33,0.9,1.63,1.81
650,650-2,0.29,1.12,1.61,1.63
650,650-1,0.34,1.02,1.76,1.9
651,651-1,0.41,1.03,1.87,1.97
652,652-1,0.29,0.87,1.54,1.55
653,653-3,0.39,1.0,1.69,2.0
653,653-2,0.36,1.14,1.74,1.81
653,653-1,0.34,1.04,1.62,1.84
654,654-4,0.38,0.89,1.53,1.97
654,654-3,0.24,1.07,1.68,1.73
654,654-2,0.46,1.09,1.64,1.7
654,654-1,0.31,1.11,1.72,1.72
655,655-3,0.34,1.12,1.79,1.81
655,655-2,0.4,1.04,0.02,1.56
655,655-1,0.41,1.09,1.52,1.78
656,656-2,0.42,1.03,1.55,1.67
656,656-1,0.3,1.1,1.56,1.64
657,657-1,0.3,1.04,1.74,1.79
658,658-2,0.35,0.96,1.84,1.96
658,658-1,0.23,1.0,1.42,1.7
659,659-1,0.34,1.16,1.7,1.78
660,660-1,0.36,1.01,1.68,1.7
661,661-4,0.27,0.87,1.57,1.75
661,661-3,0.34,0.94,1.64,1.77
661,661-2,0.4,1.0,1.81,1.82
661,661-1,0.42,0.95,1.76,1.77
662,662-4,0.35,1.0,1.43,1.71
662,662-3,0.38,0.91,1.82,1.95
662,662-2,0.22,0.9,1.9,2.0
662,662-1,0.37,1.03,1.59,1.61
663,663-3,0.34,1.12,1.61,1.65
663,663-2,0.37,1.02,1.44,1.51
663,663-1,0.36,1.04,1.69,1.74
664,664-3,0.31,1.23,1.62,1.7
664,664-2,0.34,0.75,1.71,1.82
664,664-1,0.29,0.98,1.72,1.74
665,665-4,0.29,0.9,1.49,1.79
665,665-3,0.41,1.02,1.69,1.75
665,665-2,0.24,1.04,1.48,1.48
665,665-1,0.46,0.99,1.79,1.82
666,666-5,0.36,1.03,1.86,1.94
666,666-4,0.32,0.95,1.67,1.74
666,666-3,0.37,1.11,1.6,1.95
666,666-2,0.35,0.92,1.69,1.78
666,666-1,0.33,1.11,1.65,1.73
667,667-4,0.3,0.95,1.65,1.8
667,667-3,0.22,1.02,1.88,1.91
667,667-2,0.36,0.99,1.63,1.63
667,667-1,0.41,0.82,1.71,1.82
668,668-5,0.26,1.17,1.59,1.69
668,668-4,0.24,1.14,1.65,1.67
668,668-3,0.35,0.98,1.95,2.0
668,668-2,0.29,0.93,1.62,1.73
668,668-1,0.42,1.14,1.39,1.98
669,669-2,0.42,0.93,1.5,1.52
669,669-1,0.35,0.79,1.59,1.6
670,670-2,0.4,1.17,1.53,1.84
670,670-1,0.43,1.14,1.7,1.77
671,671-2,0.35,0.9,1.45,1.76
671,671-1,0.35,1.04,1.84,1.84
672,672-5,0.38,1.04,1.77,1.79
672,672-4,0.39,1.22,1.67,1.82
672,672-3,0.42,1.25,1.38,1.43
672,672-2,0.46,1.07,1.68,1.8
672,672-1,0.35,0.97,1.68,1.82
673,673-4,0.29,0.97,1.76,1.84
673,673-3,0.4,1.22,1.88,1.96
673,673-2,0.34,0.86,1.59,1.76
673,673-1,0.39,0.93,1.53,1.74
674,674-2,0.34,1.0,1.62,1.65
674,674-1,0.36,1.19,1.77,1.84
675,675-5,0.33,1.05,1.46,1.47
675,675-4,0.24,1.03,1.6,1.65
675,675-3,0.36,0.75,1.7,1.8
675,675-2,0.41,0.93,1.88,1.98
675,675-1,0.32,1.03,1.77,1.87
676,676-3,0.45,1.01,1.73,1.81
676,676-2,0.33,0.95,1.65,1.96
676,676-1,0.3,1.25,1.47,1.59
677,677-3,0.28,1.11,1.75,1.83
677,677-2,0.28,0.96,1.74,1.94
677,677-1,0.31,0.91,1.61,1.63
678,678-1,0.35,1.04,1.61,1.71
679,679-3,0.39,0.97,1.7,1.71
679,679-2,0.38,1.04,1.94,2.0
679,679-1,0.4,0.99,1.75,1.78
680,680-2,0.33,1.27,1.67,1.76
680,680-1,0.34,0.88,1.82,1.94
681,681-2,0.33,1.09,1.71,1.85
681,681-1,0.34,0.93,1.76,1.76
682,682-2,0.46,1.01,1.62,1.79
682,682-1,0.34,1.08,1.51,1.55
683,683-3,0.37,1.04,1.85,1.85
683,683-2,0.42,1.22,1.42,1.45
683,683-1,0.43,1.06,1.6,1.61
684,684-2,0.28,1.0,1.79,1.87
684,684-1,0.39,1.06,1.48,1.62
685,685-5,0.32,0.96,1.75,1.77
685,685-4,0.35,1.0,1.5,1.82
685,685-3,0.42,1.09,1.54,1.85
685,685-2,0.38,0.93,1.76,1.86
685,685-1,0.3,1.05,1.7,1.74
686,686-5,0.34,1.06,1.61,1.65
686,686-4,0.26,0.88,1.62,1.63
686,686-3,0.34,0.93,1.51,1.54
686,686-2,0.4,1.16,1.72,1.76
686,686-1,0.3,0.87,1.75,1.85
687,687-4,0.21,0.85,1.84,1.96
687,687-3,0.33,0.89,1.55,1.8
687,687-2,0.27,1.0,1.6,1.74
687,687-1,0.35,1.05,1.75,1.92
688,688-4,0.35,0.82,1.45,1.58
688,688-3,0.27,1.09,1.53,1.68
688,688-2,0.32,1.11,1.73,1.86
688,688-1,0.38,0.89,1.66,1.75
689,689-5,0.41,1.2,1.64,1.76
689,689-4,0.35,1.05,1.55,1.66
689,689-3,0.32,0.99,1.44,1.57
689,689-2,0.37,1.02,1.81,1.91
689,689-1,0.47,0.94,1.76,1.76
690,690-3,0.27,0.94,1.86,1.98
690,690-2,0.28,0.99,1.83,1.92
690,690-1,0.32,0.9,1.52,1.61
691,691-1,0.33,0.95,1.8,1.85
692,692-1,0.45,0.96,1.73,1.76
693,693-2,0.38,1.08,1.63,1.66
693,693-1,0.29,0.93,1.6,1.79
694,694-4,0.41,0.94,1.4,1.79
694,694-3,0.28,1.08,1.73,1.85
694,694-2,0.29,1.07,1.87,1.91
694,694-1,0.4,1.1,1.54,1.61
695,695-3,0.51,1.0,1.55,1.57
695,695-2,0.4,1.09,1.61,1.73
695,695-1,0.23,1.08,1.65,1.73
696,696-4,0.34,0.86,1.7,1.76
696,696-3,0.37,0.84,1.69,1.76
696,696-2,0.31,0.99,1.69,1.78
696,696-1,0.35,0.92,1.5,1.56
697,697-1,0.27,1.03,1.52,1.59
698,698-3,0.37,0.97,1.79,1.81
698,698-2,0.4,1.1,1.64,1.75
698,698-1,0.38,1.08,1.79,1.91
699,699-1,0.34,0.92,1.82,1.89
700,700-2,0.46,0.98,1.64,1.7
700,700-1,0.3,0.88,1.59,1.6
701,701-5,0.31,0.94,1.92,2.0
701,701-4,0.34,0.87,1.59,1.9
701,701-3,0.33,0.81,1.67,1.78
701,701-2,0.27,0.81,1.8,1.96
701,701-1,0.3,1.03,1.69,1.88
702,702-2,0.29,0.93,1.51,1.82
702,702-1,0.27,0.98,1.61,1.61
703,703-1,0.4,1.02,1.68,1.75
704,704-3,0.4,1.08,1.63,1.67
704,704-2,0.38,1.14,1.58,1.67
704,704-1,0.28,0.91,1.57,1.84
705,705-2,0.42,0.92,1.78,1.87
705,705-1,0.31,1.04,1.58,1.73
706,706-3,0.52,1.03,1.65,1.77
706,706-2,0.28,0.76,1.49,1.51
706,706-1,0.37,0.88,1.66,1.79
707,707-3,0.44,1.14,1.72,1.84
707,707-2,0.33,1.18,1.75,1.8
707,707-1,0.37,1.13,1.46,1.86
708,708-5,0.23,1.1,1.78,1.88
708,708-4,0.28,0.93,1.42,1.95
708,708-3,0.42,1.23,1.52,1.56
708,708-2,0.23,0.89,1.83,1.92
708,708-1,0.3,0.97,1.72,1.78
709,709-3,0.34,0.93,1.55,1.9
709,709-2,0.37,1.12,1.78,1.87
709,709-1,0.33,1.17,1.44,1.8
710,710-5,0.34,1.05,1.68,1.7
710,710-4,0.26,1.01,1.72,1.77
710,710-3,0.29,1.1,1.56,1.56
710,710-2,0.38,1.15,1.63,1.99
710,710-1,0.27,1.0,1.71,1.86
711,711-1,0.35,1.14,1.54,1.61
712,712-3,0.31,1.08,1.71,1.73
712,712-2,0.36,1.14,1.78,1.79
712,712-1,0.41,0.87,1.82,1.93
713,713-4,0.29,1.02,1.57,1.79
713,713-3,0.4,1.06,1.53,1.7
713,713-2,0.47,0.99,1.56,1.62
713,713-1,0.32,0.89,1.75,1.78
714,714-1,0.31,0.95,1.62,1.63
715,715-5,0.47,1.04,1.71,1.81
715,715-4,0.32,1.1,1.4,1.92
715,715-3,0.37,0.99,1.8,1.81
715,715-2,0.25,1.1,1.69,1.79
715,715-1,0.41,1.04,1.89,1.99
716,716-5,0.32,1.08,1.91,2.0
716,716-4,0.36,0.91,1.81,1.9
716,716-3,0.47,1.01,1.72,1.8
716,716-2,0.34,0.92,1.85,1.89
716,716-1,0.38,1.09,1.7,1.83
717,717-1,0.31,0.87,1.45,1.49
718,718-1,0.35,1.0,1.86,1.98
719,719-3,0.42,1.11,1.7,1.8
719,719-2,0.32,0.95,1.9,1.97
719,719-1,0.32,1.01,1.46,1.57
720,720-4,0.35,0.95,1.48,1.54
720,720-3,0.32,0.93,1.84,1.94
720,720-2,0.35,1.0,1.87,1.95
720,720-1,0.34,1.12,1.52,1.65
721,721-2,0.32,1.03,1.76,1.87
721,721-1,0.39,0.95,1.82,1.88
722,722-3,0.39,1.09,1.61,1.74
722,722-2,0.36,0.89,1.66,1.69
722,722-1,0.3,1.05,1.59,1.72
723,723-1,0.34,1.0,1.89,2.0
724,724-2,0.4,0.97,1.84,1.89
724,724-1,0.23,1.11,1.53,1.94
725,725-1,0.35,1.07,1.63,1.66
726,726-4,0.32,0.76,1.75,1.99
726,726-3,0.28,0.88,1.7,1.71
726,726-2,0.41,1.02,1.61,1.72
726,726-1,0.35,1.03,1.4,1.52
727,727-2,0.43,0.91,1.63,1.66
727,727-1,0.37,1.05,1.57,1.61
728,728-5,0.3,0.98,1.62,1.79
728,728-4,0.25,1.02,1.82,1.93
728,728-3,0.33,1.21,1.71,1.82
728,728-2,0.28,0.94,1.71,1.72
728,728-1,0.31,0.97,1.97,2.0
729,729-3,0.37,1.02,1.65,1.66
729,729-2,0.28,0.74,1.53,1.94
729,729-1,0.25,1.05,1.69,1.8
730,730-3,0.3,0.9,1.79,1.89
730,730-2,0.29,1.18,1.44,1.54
730,730-1,0.41,1.12,1.7,1.84
731,731-3,0.35,1.03,1.33,1.39
731,731-2,0.42,1.02,1.76,1.83
731,731-1,0.29,0.96,1.62,1.71
732,732-5,0.3,1.08,1.62,1.72
732,732-4,0.37,1.11,1.71,1.83
732,732-3,0.31,0.94,1.58,1.6
732,732-2,0.35,0.93,1.56,1.62
732,732-1,0.46,1.01,1.7,1.74
733,733-2,0.3,1.0,1.68,1.81
733,733-1,0.39,1.12,1.8,1.81
734,734-3,0.42,1.09,1.84,1.87
734,734-2,0.35,0.9,1.93,1.97
734,734-1,0.38,1.04,1.66,1.92
735,735-2,0.37,1.1,1.67,1.76
735,735-1,0.34,1.01,1.86,1.96
736,736-2,0.46,1.06,1.9,2.0
736,736-1,0.33,0.97,1.56,1.67
737,737-3,0.27,0.93,1.65,1.94
737,737-2,0.34,1.25,1.67,1.98
737,737-1,0.31,1.07,1.52,1.53
738,738-3,0.36,0.98,1.53,1.73
738,738-2,0.33,1.05,1.74,1.84
738,738-1,0.3,1.07,1.83,1.86
739,739-2,0.29,1.07,1.71,1.82
739,739-1,0.3,0.89,1.75,1.93
740,740-4,0.27,0.93,1.63,1.68
740,740-3,0.41,0.92,1.85,1.93
740,740-2,0.32,0.93,1.69,1.78
740,740-1,0.33,0.97,1.52,1.64
741,741-3,0.39,0.91,1.75,1.88
741,741-2,0.25,0.88,1.76,1.77
741,741-1,0.36,0.95,1.81,1.94
742,742-1,0.38,1.12,1.82,1.86
743,743-5,0.38,1.0,1.69,1.82
743,743-4,0.39,1.14,1.93,2.0
743,743-3,0.34,0.83,1.7,1.71
743,743-2,0.26,0.92,1.54,1.66
743,743-1,0.38,0.97,1.86,1.91
744,744-1,0.36,1.02,1.69,1.71
745,745-4,0.32,1.02,1.51,1.52
745,745-3,0.38,1.08,1.54,1.56
745,745-2,0.32,1.05,1.73,1.78
745,745-1,0.41,1.12,1.7,1.8
746,746-5,0.4,1.17,1.62,1.68
746,746-4,0.24,1.11,1.67,1.68
746,746-3,0.38,0.91,1.53,1.58
746,746-2,0.38,0.96,1.78,1.86
746,746-1,0.41,1.01,1.76,1.79
747,747-3,0.33,0.95,1.65,1.79
747,747-2,0.37,1.2,1.83,1.84
747,747-1,0.39,0.89,1.78,1.82
748,748-5,0.38,1.16,1.67,1.68
748,748-4,0.39,1.02,1.71,1.73
748,748-3,0.33,1.07,1.7,1.72
748,748-2,0.25,1.07,1.44,1.53
748,748-1,0.3,0.98,1.69,1.77
749,749-4,0.34,0.94,1.85,1.88
749,749-3,0.22,1.05,1.71,1.78
749,749-2,0.34,0.94,1.93,2.0
749,749-1,0.45,1.08,1.75,1.87
750,750-5,0.31,0.93,1.72,1.77
750,750-4,0.36,1.09,1.75,1.81
750,750-3,0.39,1.03,1.59,1.69
750,750-2,0.3,1.14,1.68,1.71
750,750-1,0.26,1.01,1.78,1.89
751,751-3,0.38,0.99,1.65,1.8
751,751-2,0.31,1.19,1.42,1.44
751,751-1,0.32,1.18,1.87,1.94
752,752-3,0.4,0.87,1.47,1.55
752,752-2,0.4,1.12,1.76,1.87
752,752-1,0.43,1.1,1.84,1.96
753,753-4,0.27,0.87,1.65,1.68
753,753-3,0.4,0.96,1.52,1.57
753,753-2,0.42,1.12,1.74,1.88
753,753-1,0.34,0.94,1.64,1.68
754,754-2,0.36,1.28,1.87,1.88
754,754-1,0.33,1.03,1.51,1.59
755,755-4,0.34,0.95,1.63,1.75
755,755-3,0.23,1.08,1.49,1.6
755,755-2,0.25,1.04,1.66,1.67
755,755-1,0.3,0.86,1.6,1.61
756,756-3,0.31,0.9,1.59,1.71
756,756-2,0.33,0.94,1.67,1.93
756,756-1,0.34,0.86,1.62,1.74
757,757-1,0.31,1.12,1.63,1.96
758,758-1,0.36,0.86,1.61,1.63
759,759-5,0.24,1.02,1.68,1.7
759,759-4,0.31,1.03,1.74,1.9
759,759-3,0.25,1.0,1.58,1.66
759,759-2,0.35,0.96,1.71,1.81
759,759-1,0.34,0.89,1.54,1.67
760,760-5,0.33,0.93,1.87,2.0
760,760-4,0.24,0.99,1.61,1.64
760,760-3,0.28,0.89,1.72,1.87
760,760-2,0.35,0.9,1.19,1.51
760,760-1,0.32,0.92,1.62,1.7
761,761-2,0.31,1.0,1.44,1.53
761,761-1,0.36,1.0,1.64,1.7
762,762-1,0.38,1.05,1.62,1.98
763,763-3,0.37,0.85,1.52,1.72
763,763-2,0.34,1.04,1.53,2.0
763,763-1,0.24,1.07,1.62,1.67
764,764-3,0.29,0.89,1.63,1.67
764,764-2,0.43,0.97,1.8,1.94
764,764-1,0.43,0.97,1.89,1.95
765,765-4,0.38,0.97,1.7,1.83
765,765-3,0.46,1.09,1.7,1.83
765,765-2,0.46,1.12,1.81,1.81
765,765-1,0.34,1.05,1.75,1.82
766,766-3,0.36,1.11,1.49,1.55
766,766-2,0.28,1.03,1.64,1.69
766,766-1,0.3,1.2,1.64,1.81
767,767-2,0.32,0.86,1.52,1.65
767,767-1,0.36,1.07,1.58,1.65
768,768-1,0.31,1.13,1.72,1.83
769,769-3,0.41,1.12,1.91,1.91
769,769-2,0.34,1.13,1.54,1.95
769,769-1,0.45,0.99,1.55,1.89
770,770-2,0.29,1.08,1.72,1.83
770,770-1,0.39,1.0,1.77,1.97
771,771-1,0.42,1.05,1.64,1.66
772,772-1,0.35,1.05,1.58,1.6
773,773-2,0.37,1.0,1.8,1.93
773,773-1,0.37,1.02,1.71,1.78
774,774-3,0.36,0.99,1.5,1.72
774,774-2,0.34,1.05,1.49,1.53
774,774-1,0.34,0.91,1.51,1.92
775,775-2,0.32,1.0,1.68,1.95
775,775-1,0.27,0.95,1.98,2.0
776,776-3,0.26,1.0,1.68,1.77
776,776-2,0.33,0.99,1.83,1.94
776,776-1,0.32,0.99,1.55,1.62
777,777-5,0.4,1.06,1.86,1.87
777,777-4,0.44,1.04,1.69,1.99
777,777-3,0.36,1.06,1.59,1.7
777,777-2,0.21,0.89,1.65,1.71
777,777-1,0.28,1.19,1.5,1.53
778,778-5,0.35,1.01,1.68,1.8
778,778-4,0.42,1.05,1.75,1.89
778,778-3,0.3,0.97,1.51,1.92
778,778-2,0.37,0.91,1.55,1.68
778,778-1,0.24,0.98,1.64,1.69
779,779-3,0.34,0.91,1.78,1.84
779,779-2,0.27,0.93,1.77,1.89
779,779-1,0.33,1.09,1.72,1.85
780,780-2,0.43,1.06,1.56,1.8
780,780-1,0.3,0.89,1.72,1.73
781,781-4,0.37,1.15,1.78,1.83
781,781-3,0.26,1.03,1.7,1.9
781,781-2,0.38,1.08,1.54,1.6
781,781-1,0.37,1.06,1.5,1.73
782,782-3,0.35,0.75,1.8,1.87
782,782-2,0.38,1.09,1.57,1.69
782,782-1,0.41,0.87,1.7,1.83
783,783-4,0.27,1.05,1.61,1.94
783,783-3,0.29,1.12,1.79,2.0
783,783-2,0.43,0.9,1.73,1.85
783,783-1,0.46,0.95,1.82,1.95
784,784-5,0.36,0.8,1.87,1.89
784,784-4,0.33,1.07,1.61,1.78
784,784-3,0.33,1.02,1.75,1.83
784,784-2,0.36,1.0,1.67,1.7
784,784-1,0.46,0.93,1.68,1.79
785,785-1,0.34,1.01,1.65,1.72
786,786-4,0.33,0.94,1.69,1.81
786,786-3,0.32,1.2,1.4,1.47
786,786-2,0.35,1.13,1.64,1.81
786,786-1,0.32,0.92,1.66,1.71
787,787-5,0.33,1.11,1.36,1.47
787,787-4,0.34,1.15,1.85,1.94
787,787-3,0.31,1.03,1.73,1.77
787,787-2,0.33,1.03,1.76,1.84
787,787-1,0.44,1.11,1.69,1.8
788,788-5,0.29,1.14,1.63,1.78
788,788-4,0.41,0.95,1.61,1.67
788,788-3,0.37,1.0,1.88,2.0
788,788-2,0.31,0.98,1.53,1.79
788,788-1,0.36,0.9,1.74,1.89
789,789-2,0.41,0.84,1.63,1.74
789,789-1,0.32,0.88,1.4,1.45
790,790-4,0.41,0.87,1.86,1.98
790,790-3,0.39,1.06,1.6,1.7
790,790-2,0.46,1.07,1.85,1.88
790,790-1,0.28,1.01,1.75,1.85
791,791-4,0.35,0.88,1.59,1.98
791,791-3,0.3,0.98,1.54,1.77
791,791-2,0.41,1.09,1.81,1.91
791,791-1,0.4,1.03,1.87,1.89
792,792-4,0.4,1.17,1.6,1.7
792,792-3,0.4,1.08,1.81,1.91
792,792-2,0.42,1.01,1.72,1.8
792,792-1,0.33,1.21,1.56,1.58
793,793-5,0.25,0.97,1.72,1.78
793,793-4,0.43,1.08,1.82,1.87
793,793-3,0.35,0.93,1.57,1.61
793,793-2,0.43,1.25,1.69,1.88
793,793-1,0.22,1.2,1.85,1.92
794,794-1,0.35,0.95,1.73,1.73
795,795-1,0.27,1.15,1.51,1.57
796,796-2,0.35,0.89,1.5,1.55
796,796-1,0.27,0.93,1.69,1.73
797,797-2,0.41,0.78,1.6,1.99
797,797-1,0.42,0.99,1.82,1.84
798,798-5,0.31,0.95,1.56,1.67
798,798-4,0.49,0.9,1.63,1.95
798,798-3,0.37,0.84,1.72,1.84
798,798-2,0.28,0.93,1.34,1.91
798,798-1,0.37,1.03,1.75,1.81
799,799-2,0.31,0.92,1.61,1.64
799,799-1,0.32,1.07,1.7,1.92
800,800-4,0.36,1.08,1.79,1.84
800,800-3,0.26,1.01,1.73,1.74
800,800-2,0.36,1.04,1.67,1.84
800,800-1,0.41,1.09,1.88,1.89
801,801-1,0.36,1.01,1.82,1.9
802,802-4,0.25,1.0,1.85,1.85
802,802-3,0.48,0.95,1.75,1.87
802,802-2,0.35,1.04,1.65,1.79
802,802-1,0.4,1.06,1.6,1.7
803,803-3,0.35,1.11,1.64,1.72
803,803-2,0.27,1.15,1.82,1.89
803,803-1,0.37,0.96,1.8,1.95
804,804-5,0.47,1.12,1.56,1.61
804,804-4,0.38,1.09,1.63,1.66
804,804-3,0.29,0.93,1.55,1.6
804,804-2,0.28,0.99,1.74,1.94
804,804-1,0.19,0.97,1.66,1.72
805,805-5,0.41,0.91,1.76,1.77
805,805-4,0.43,0.84,1.53,1.62
805,805-3,0.37,1.1,1.76,1.89
805,805-2,0.4,1.02,1.84,1.87
805,805-1,0.4,0.86,1.65,1.84
806,806-5,0.39,0.91,1.72,1.82
806,806-4,0.37,0.94,1.64,1.76
806,806-3,0.38,0.85,1.71,1.74
806,806-2,0.33,1.13,1.54,1.98
806,806-1,0.33,1.0,1.83,1.84
807,807-4,0.39,0.91,1.62,1.72
807,807-3,0.4,0.93,1.8,1.94
807,807-2,0.4,1.01,1.78,1.86
807,807-1,0.36,0.99,0.02,1.53
808,808-3,0.44,1.04,1.66,1.72
808,808-2,0.28,0.87,1.57,1.62
808,808-1,0.32,1.03,1.67,1.72
809,809-5,0.34,1.03,1.68,1.74
809,809-4,0.3,0.96,1.67,1.72
809,809-3,0.32,0.91,1.62,1.77
809,809-2,0.39,0.94,1.83,1.95
809,809-1,0.29,0.94,1.89,2.0
810,810-1,0.39,0.88,1.63,1.77
811,811-2,0.42,0.93,1.74,1.91
811,811-1,0.31,0.98,1.62,1.73
812,812-1,0.4,1.17,1.54,1.86
813,813-1,0.29,1.11,1.6,1.74
814,814-3,0.31,1.06,1.61,1.68
814,814-2,0.44,0.87,1.58,1.6
814,814-1,0.28,0.98,0.02,1.93
815,815-1,0.43,1.04,1.68,1.82
816,816-2,0.42,0.91,1.64,1.87
816,816-1,0.43,0.89,1.58,1.94
817,817-4,0.46,1.0,1.89,2.0
817,817-3,0.35,1.07,1.53,1.64
817,817-2,0.28,0.93,1.6,1.72
817,817-1,0.29,0.96,1.6,1.74
818,818-4,0.3,0.97,1.64,1.7
818,818-3,0.31,0.9,1.63,1.92
818,818-2,0.38,1.05,1.7,1.83
818,818-1,0.35,0.96,1.71,1.97
819,819-4,0.28,1.05,1.78,1.86
819,819-3,0.31,0.98,1.79,1.87
819,819-2,0.36,0.88,1.53,1.63
819,819-1,0.23,1.02,1.63,1.82
820,820-1,0.42,0.96,1.49,1.67
821,821-4,0.36,0.97,1.52,1.63
821,821-3,0.25,0.96,1.67,1.99
821,821-2,0.33,1.1,1.55,1.63
821,821-1,0.41,1.02,1.71,1.77
822,822-2,0.32,1.18,1.6,2.0
822,822-1,0.39,0.94,1.66,1.7
823,823-3,0.33,1.22,1.5,1.54
823,823-2,0.43,1.09,1.85,1.98
823,823-1,0.46,0.94,1.72,1.85
824,824-1,0.24,0.86,1.73,1.75
825,825-5,0.36,1.06,1.54,1.59
825,825-4,0.34,0.92,1.61,1.65
825,825-3,0.33,1.06,1.6,1.93
825,825-2,0.31,0.94,1.34,1.4
825,825-1,0.41,1.1,1.7,1.81
826,826-4,0.44,0.88,1.85,1.98
826,826-3,0.25,1.02,1.78,1.85
826,826-2,0.53,1.04,1.67,1.71
826,826-1,0.33,1.01,1.77,1.82
827,827-1,0.38,1.1,1.61,1.68
828,828-3,0.37,1.07,1.59,1.6
828,828-2,0.27,1.04,1.73,1.75
828,828-1,0.35,0.99,1.6,1.71
829,829-1,0.39,1.0,1.73,1.81
830,830-3,0.32,0.88,1.83,1.96
830,830-2,0.27,1.17,1.72,1.74
830,830-1,0.38,1.07,1.75,1.87
831,831-2,0.26,1.01,1.52,1.72
831,831-1,0.23,0.99,1.7,1.99
832,832-1,0.27,1.05,1.85,1.93
833,833-2,0.38,0.97,1.75,1.88
833,833-1,0.41,0.97,1.62,1.71
834,834-5,0.3,1.07,1.55,1.77
834,834-4,0.3,1.0,1.89,1.92
834,834-3,0.28,1.07,1.42,1.56
834,834-2,0.25,1.05,1.57,1.59
834,834-1,0.24,1.08,1.68,1.81
835,835-2,0.37,0.96,1.67,1.68
835,835-1,0.31,0.89,1.65,1.65
836,836-2,0.36,1.15,1.76,1.87
836,836-1,0.25,1.03,1.73,1.81
837,837-2,0.36,0.92,1.98,2.0
837,837-1,0.28,0.81,1.59,1.63
838,838-4,0.32,1.06,1.78,1.86
838,838-3,0.27,0.96,1.65,1.67
838,838-2,0.34,1.03,1.73,1.77
838,838-1,0.44,0.88,1.67,1.79
839,839-1,0.32,1.05,0.02,1.2
840,840-5,0.35,1.04,1.8,1.81
840,840-4,0.35,0.94,1.5,1.63
840,840-3,0.3,1.02,1.52,1.95
840,840-2,0.34,1.09,1.7,1.83
840,840-1,0.32,1.07,1.72,1.77
841,841-3,0.34,0.98,1.87,1.92
841,841-2,0.24,1.09,1.79,1.84
841,841-1,0.38,1.14,1.8,1.99
842,842-5,0.42,0.97,1.68,1.68
842,842-4,0.37,0.93,1.81,1.93
842,842-3,0.23,1.03,1.99,2.0
842,842-2,0.27,1.03,1.74,1.76
842,842-1,0.3,1.15,1.74,1.75
843,843-2,0.41,0.93,1.74,1.83
843,843-1,0.3,1.14,1.51,1.57
844,844-4,0.33,1.16,1.47,1.48
844,844-3,0.31,0.98,1.63,1.99
844,844-2,0.34,1.14,1.69,1.8
844,844-1,0.29,0.86,1.65,1.7
845,845-5,0.25,0.99,1.59,1.93
845,845-4,0.28,0.91,1.67,1.69
845,845-3,0.34,1.34,1.41,1.55
845,845-2,0.36,0.93,1.76,1.77
845,845-1,0.29,0.92,1.49,1.57
846,846-5,0.31,0.91,1.82,1.82
846,846-4,0.32,0.86,1.66,1.76
846,846-3,0.26,1.09,1.58,1.61
846,846-2,0.46,0.77,1.68,1.76
846,846-1,0.29,1.15,1.79,1.82
847,847-1,0.39,0.92,1.76,1.76
848,848-5,0.34,1.08,1.77,1.89
848,848-4,0.4,0.87,1.61,1.84
848,848-3,0.36,1.01,1.37,1.38
848,848-2,0.41,0.93,1.63,1.91
848,848-1,0.22,0.94,1.88,1.89
849,849-3,0.39,0.79,1.87,1.92
849,849-2,0.36,1.1,1.7,1.77
849,849-1,0.36,1.02,1.64,1.68
850,850-1,0.33,0.78,1.59,1.73
851,851-4,0.36,0.87,1.77,1.99
851,851-3,0.34,1.16,1.54,1.61
851,851-2,0.33,1.2,1.55,1.57
851,851-1,0.35,1.12,1.53,1.62
852,852-3,0.37,1.19,1.56,1.62
